name,salary_from,salary_to,currency,city,link,discription
водитель,80000,,RUR,Москва,https://hh.ru/vacancy/111590349,"Профессиональное управление автомобилем, обеспечивающее сохранность жизни и здоровья пассажиров. Доставка документации (корреспонденции) по указанным адресам. Перевозка малогабаритных грузов по Москве..."
водитель категории в,1800,,BYR,Минск,https://hh.ru/vacancy/111594704,"Управление автомобилем, погрузочно-разгрузочные работы (продукция санитарно-гигиенического назначения). Знание работы с ТТН. Уход за кузовом и салоном, поддержания их..."
водитель категории с,2000,,BYR,Брест,https://hh.ru/vacancy/111543429,<highlighttext>Водитель</highlighttext> кат. С. Реф 10 тонн.Работа РБ-РБ.
персональный водитель (с функциями личного помощника),150000,150000,RUR,Москва,https://hh.ru/vacancy/111398556,"Осуществление служебных поездок (Москва, Московская область) на автомобиле Заказчика. Заблаговременное планирование оптимального маршрута передвижения. Поддержание автомобиля в технически исправном и..."
водитель категории в (межгород),100000,,RUR,Москва,https://hh.ru/vacancy/111400121,Осуществление междугородних перевозок сборных грузов. Соблюдение ПДД. Kонтpоль погрузки и pазгрузки. Соблюдение сроков грузоперевозки. Правильное оформление путевой документации.
персональный водитель - охранник,230000,,RUR,Москва,https://hh.ru/vacancy/111437299,
водитель,60000,,RUR,Вологда,https://hh.ru/vacancy/111450571,Доставка грузов по России ( в основном маршруты стандартные до 1000 км ) . -Работа с сопроводительным документам . -Поддержание авто в технически исправном...
водитель категории в,80000,,RUR,Тверь,https://hh.ru/vacancy/111523912,Подача автомобиля на погрузку/разгрузку. Проверка и поддержание автомобиля в исправном состоянии. Оформление путевых документов.
водитель,70000,80000,RUR,Волгоград,https://hh.ru/vacancy/111439198,"Гростер» - крупная торгово-производственная компания, существующая на рынке более 20-ти лет. Основная деятельность: оптово-розничная продажа товаров для бизнеса. - "
водитель автомобиля,48000,58000,RUR,Саратов,https://hh.ru/vacancy/111521717,Безопасно и эффективно управлять транспортным средством соответствующей категории в различных условиях дорожного движения.
водитель,80000,80000,RUR,Москва,https://hh.ru/vacancy/111555669,"Своевременная подача автомобиля и доставка до мест назначения руководителя, сотрудников компании. Содержание автомобиля в надлежащем техническом состоянии - самостоятельные работы по..."
персональный водитель руководителя (луганск),120000,,RUR,Москва,https://hh.ru/vacancy/111415631,Обеспечение комфортного сопровождения на автомобиле руководителя. Подача автомобиля в обозначенное руководителем время и место (автомобиль не домашний). Обеспечение профессионального вождения. 
личный водитель,120000,,RUR,Москва,https://hh.ru/vacancy/111443841,"Обеспечение профессионального вождения, комфортного сопровождения работодателя на автомобиле. Заблаговременное планирование оптимального маршрута движения, подача автомобиля в назначенное работодателем место и..."
водитель-экспедитор (категория в),2300,3500,BYR,Минск,https://hh.ru/vacancy/111588257,Развоз продуктов питания по торговым точкам Республики Беларусь. Ведение путевого листа. Загрузка с ориентиром на прибытие к первой точке к...
водитель на легковой автомобиль,53000,71000,RUR,Иркутск,https://hh.ru/vacancy/111541782,"Загрузка, доставка и разгрузка инвентаря и оборудования, развоз сотрудников после окончания заявок."
водитель персональный,130000,,RUR,Москва,https://hh.ru/vacancy/111405021,Своевременная подача автомобиля. Профессиональное вождение автомобиля представительского класса. Поддержание автомобиля в исправном техническом состоянии. Выполнение поручений руководителя.
водитель офисный / персональный,100000,,RUR,Москва,https://hh.ru/vacancy/111483931,"Выполнение офисных поручений: доставка документов, встреча гостей и партнеров, выполнение производственных поручений. Выполнение личных поручений руководителя. Обеспечение профессионального, безаварийного вождения..."
семейный водитель,150000,150000,RUR,Москва,https://hh.ru/vacancy/111213414,
семейный водитель,130000,130000,RUR,Москва,https://hh.ru/vacancy/111529373,
водитель,2500,,BYR,Гродно,https://hh.ru/vacancy/111202199,
офисный водитель,70000,,RUR,Брянск,https://hh.ru/vacancy/111227907,
